task_id,module,owner,status,depends_on,dod,test_command,artifact_path
"DASH-A-001","WS-UX","unassigned","todo","none","Dashboard v1 骨架与 feature flag 可运行。","npm --prefix ./projects/mediation-dashboard run dev","projects/mediation-dashboard"
"DASH-A-002","WS-UX","unassigned","todo","DASH-A-001","Home 页展示接入状态与 24h 核心指标。","npm --prefix ./projects/mediation-dashboard run test -- home","projects/mediation-dashboard/src/views/HomeView.vue"
"DASH-A-003","WS-UX","unassigned","todo","DASH-A-001","Quick Start 页可输出 JS/Python/cURL 最小示例。","npm --prefix ./projects/mediation-dashboard run test -- quickstart","projects/mediation-dashboard/src/views/QuickStartView.vue"
"DASH-A-004","WS-UX","unassigned","todo","DASH-A-001","API Keys 页支持创建/轮换/吊销。","npm --prefix ./projects/mediation-dashboard run test -- api-keys","projects/mediation-dashboard/src/views/ApiKeysView.vue"
"DASH-A-005","WS-UX","unassigned","todo","DASH-A-001","Integrations 页仅保留最小 placement 模板。","npm --prefix ./projects/mediation-dashboard run test -- integrations","projects/mediation-dashboard/src/views/IntegrationsView.vue"
"DASH-A-006","WS-UX","unassigned","todo","DASH-A-001","Usage 页展示请求量/成功率/计费摘要。","npm --prefix ./projects/mediation-dashboard run test -- usage","projects/mediation-dashboard/src/views/UsageView.vue"
"DASH-A-007","WS-API","unassigned","todo","DASH-A-001","前端 API client 统一对接 public API。","npm --prefix ./projects/mediation-dashboard run test -- api-client","projects/mediation-dashboard/src/api"
"DASH-A-008","WS-API","unassigned","todo","none","后端最小 app/env/key 数据模型可迁移。","npm --prefix ./projects/tappy-ai-mediation run db:migrate","projects/tappy-ai-mediation/src"
"DASH-A-009","WS-API","unassigned","todo","DASH-A-008","key create/list/rotate/revoke API 可用。","npm --prefix ./projects/tappy-ai-mediation run test:integration -- api-keys","projects/tappy-ai-mediation/src/routes"
"DASH-A-010","WS-API","unassigned","todo","DASH-A-009","Quick Start verifier 可跑通 config->evaluate->events。","npm --prefix ./projects/tappy-ai-mediation run test:integration -- quickstart-verifier","projects/tappy-ai-mediation/src/routes"
"DASH-A-011","WS-API","unassigned","todo","DASH-A-009","key 与配置操作可审计追踪。","npm --prefix ./projects/tappy-ai-mediation run test:integration -- audit","projects/tappy-ai-mediation/src/audit"
"DASH-A-012","WS-QA","unassigned","todo","DASH-A-003|DASH-A-004|DASH-A-009|DASH-A-010","外部开发者 happy path E2E 通过且 fail-open 成立。","npm --prefix ./projects/tappy-ai-mediation run test:e2e -- dashboard-v1","docs/execution-plans/implementation/test-run-dashboard-v1.md"
"DASH-B-001","WS-AGENT","unassigned","todo","DASH-A-003","Agent Onboarding 页面可生成三类指令。","npm --prefix ./projects/mediation-dashboard run test -- agent-onboarding","projects/mediation-dashboard/src/views/AgentOnboardingView.vue"
"DASH-B-002","WS-AGENT","unassigned","todo","DASH-A-009","一次性 integration token（10-15 分钟 TTL）可签发。","npm --prefix ./projects/tappy-ai-mediation run test:integration -- integration-token","projects/tappy-ai-mediation/src/security"
"DASH-B-003","WS-AGENT","unassigned","todo","DASH-B-002","token exchange 返回最小作用域短期凭证。","npm --prefix ./projects/tappy-ai-mediation run test:integration -- token-exchange","projects/tappy-ai-mediation/src/security"
"DASH-B-004","WS-AGENT","unassigned","todo","DASH-B-001|DASH-B-003","Codex/CloudCode/Cursor 模板带 smoke 与 evidence 要求。","npm --prefix ./projects/mediation-dashboard run test -- agent-templates","projects/mediation-dashboard/src/lib/agent-templates"
"DASH-B-005","WS-QA","unassigned","todo","DASH-B-004","Agent 输出合同校验（变更清单+命令+evidence）通过。","npm --prefix ./projects/tappy-ai-mediation run test:e2e -- agent-onboarding","docs/execution-plans/implementation/test-run-agent-onboarding.md"
"DASH-B-006","WS-AGENT","unassigned","todo","DASH-B-001","默认关闭自动 PR，UI 与指令文案一致。","npm --prefix ./projects/mediation-dashboard run test -- pr-policy","projects/mediation-dashboard/src/views/AgentOnboardingView.vue"
"DASH-B-007","WS-AGENT","unassigned","todo","DASH-B-002|DASH-B-003","token 重放/越权/过期路径有防护与审计。","npm --prefix ./projects/tappy-ai-mediation run test:integration -- token-security","docs/execution-plans/implementation/security-review-dashboard-v1.md"
"DASH-C-001","WS-ROUTING","unassigned","todo","DASH-A-010","新项目默认路由为 managed_mediation。","npm --prefix ./projects/tappy-ai-mediation run test:integration -- managed-default","projects/tappy-ai-mediation/src/runtime"
"DASH-C-002","WS-UX","unassigned","todo","DASH-C-001","外部 UI 不展示 provider 级配置。","npm --prefix ./projects/mediation-dashboard run test -- no-provider-config","projects/mediation-dashboard/src/views"
"DASH-C-003","WS-ROUTING","unassigned","todo","DASH-C-001","provider 凭证仅内部托管，不进入外部门户。","npm --prefix ./projects/tappy-ai-mediation run test:integration -- provider-credential-scope","projects/tappy-ai-mediation/src/connectors"
"DASH-C-004","WS-ROUTING","unassigned","todo","DASH-C-001","fallback/failover 在异常时可稳定工作。","npm --prefix ./projects/tappy-ai-mediation run test:integration -- fallback","projects/tappy-ai-mediation/src/runtime"
"DASH-C-005","WS-ROUTING","unassigned","todo","DASH-C-004","route outcome 指标可在 Usage 聚合展示。","npm --prefix ./projects/tappy-ai-mediation run test:integration -- route-metrics","projects/tappy-ai-mediation/src/metrics"
"DASH-C-006","WS-QA","unassigned","todo","DASH-C-004|DASH-C-005","staging 灰度验证通过并具备回退开关。","npm --prefix ./projects/tappy-ai-mediation run test:e2e -- managed-routing","docs/execution-plans/implementation/managed-routing-go-no-go.md"
"DASH-D-001","WS-RESET","unassigned","todo","DASH-A-001","internal role + feature flag 生效。","npm --prefix ./projects/tappy-ai-mediation run test:integration -- internal-flag","projects/tappy-ai-mediation/src/auth"
"DASH-D-002","WS-RESET","unassigned","todo","DASH-D-001","soft reset 清理测试配置且保留组织账号。","npm --prefix ./projects/tappy-ai-mediation run test:integration -- soft-reset","projects/tappy-ai-mediation/src/devtools"
"DASH-D-003","WS-RESET","unassigned","todo","DASH-D-001","snapshot restore 可回到指定联调状态。","npm --prefix ./projects/tappy-ai-mediation run test:integration -- snapshot-restore","projects/tappy-ai-mediation/src/devtools"
"DASH-D-004","WS-RESET","unassigned","todo","DASH-D-002|DASH-D-003","validation runId 隔离生效，无数据串扰。","npm --prefix ./projects/tappy-ai-mediation run test:integration -- validation-run","projects/tappy-ai-mediation/src/devtools"
"DASH-D-005","WS-RESET","unassigned","todo","DASH-D-001","mediation 内部 reset 面板可用。","npm --prefix ./projects/mediation-dashboard run test -- internal-reset-panel","projects/mediation-dashboard/src/views/InternalResetView.vue"
"DASH-D-006","WS-QA","unassigned","todo","DASH-D-002|DASH-D-003|DASH-D-004","外部账号不可触发 reset，prod 环境受保护。","npm --prefix ./projects/tappy-ai-mediation run test:e2e -- reset-guard","docs/execution-plans/implementation/test-run-reset-guard.md"
"DASH-E-001","WS-MIGRATION","unassigned","todo","DASH-C-001","ZeroClick 映射模板可产出迁移配置草案。","docs lint / mapping review","docs/other/integration/provider-mapping-zeroclick.md"
"DASH-E-002","WS-MIGRATION","unassigned","todo","DASH-C-001","TryGravity 映射模板可产出迁移配置草案。","docs lint / mapping review","docs/other/integration/provider-mapping-trygravity.md"
"DASH-E-003","WS-MIGRATION","unassigned","todo","DASH-E-001|DASH-E-002","迁移 intake checklist 可评估差异与风险。","docs lint / checklist review","docs/other/integration/provider-migration-intake-checklist.md"
"DASH-E-004","WS-MIGRATION","unassigned","todo","DASH-E-003","迁移导入脚本可生成基础配置。","npm --prefix ./projects/tappy-ai-mediation run test:integration -- migration-import","projects/tappy-ai-mediation/scripts/migration"
"DASH-E-005","WS-QA","unassigned","todo","DASH-E-004","试点迁移 dry-run 可输出差异、风险与工时估算。","manual dry-run + report","docs/execution-plans/implementation/migration-dry-run-report.md"
