brand_id,brand_name,canonical_candidate,official_domain,vertical_l1,vertical_l2,domain_entity_type,strong_evidence,clean_score,source_name_invalid,kb_matched,canonical_confirmed,site_consensus_count,reasons
brand_huffingtonpost-co-uk_3605366c,Huffingtonpost,Huffingtonpost,huffingtonpost.co.uk,home_improvement,home_decor,publisher,false,0.722,false,false,false,0,publisher_not_allowed|low_cleaning_score
brand_digital-com_12ddd837,Digital,Digital,digital.com,fashion,apparel,commercial,false,0.822,false,false,false,0,generic_brand_name
brand_timeshighereducation-com_99450b7e,Timeshighereducation,Timeshighereducation,timeshighereducation.com,sports_outdoor,fitness,publisher,false,0.722,false,false,false,0,publisher_not_allowed|low_cleaning_score
brand_dallasnews-com_e97ec77e,Dallasnews,Dallasnews,dallasnews.com,gaming_entertainment,gaming,publisher,false,0.722,false,false,false,0,publisher_not_allowed|low_cleaning_score
brand_express-co-uk_f40896fc,Express,Express,express.co.uk,consumer_electronics,laptop,publisher,false,0.722,false,false,false,0,publisher_not_allowed|low_cleaning_score
brand_timesonline-co-uk_a2415527,Timesonline,Timesonline,timesonline.co.uk,local_services,food_delivery,publisher,false,0.722,false,false,false,0,publisher_not_allowed|low_cleaning_score
brand_rb-gy_cf8fd7b1,Rb,Rb,rb.gy,mobility,automotive,shortlink,false,0.822,false,false,false,0,domain_type_blocked:shortlink
brand_wikimapia-org_1111c9ed,Wikimapia,Wikimapia,wikimapia.org,pet,pet_supplies,commercial,false,0.822,false,false,false,0,brand_name_noise
brand_channelnewsasia-com_03f62110,Channelnewsasia,Channelnewsasia,channelnewsasia.com,education,online_learning,publisher,false,0.722,false,false,false,0,publisher_not_allowed|low_cleaning_score
brand_dictionary-com_aa6ffdc2,Dictionary,Dictionary,dictionary.com,fashion,apparel,commercial,false,0.822,false,false,false,0,brand_name_noise
brand_discovermagazine-com_2e7cfe72,Discovermagazine,Discovermagazine,discovermagazine.com,finance,digital_banking,publisher,false,0.822,false,false,false,0,publisher_not_allowed
brand_medicalxpress-com_e26f5579,Medicalxpress,Medicalxpress,medicalxpress.com,pet,pet_supplies,publisher,false,0.722,false,false,false,0,publisher_not_allowed|low_cleaning_score
brand_sandiegouniontribune-com_277f0ae2,Sandiegouniontribune,Sandiegouniontribune,sandiegouniontribune.com,sports_outdoor,fitness,publisher,false,0.722,false,false,false,0,publisher_not_allowed|low_cleaning_score
brand_voanews-com_d46729e2,Voanews,Voanews,voanews.com,beauty_personal_care,cosmetics,publisher,false,0.722,false,false,false,0,publisher_not_allowed|low_cleaning_score
brand_worldpopulationreview-com_76a9895b,Worldpopulationreview,Worldpopulationreview,worldpopulationreview.com,sports_outdoor,fitness,commercial,false,0.687,false,false,false,0,low_cleaning_score
brand_is-gd_1ea9b8ea,Is,Is,is.gd,consumer_electronics,laptop,shortlink,false,0.822,false,false,false,0,domain_type_blocked:shortlink
brand_digitaljournal-com_e6a14252,Digitaljournal,Digitaljournal,digitaljournal.com,mobility,automotive,publisher,false,0.722,false,false,false,0,publisher_not_allowed|low_cleaning_score
brand_wikiwand-com_5f01cfe1,Wikiwand,Wikiwand,wikiwand.com,home_appliance,kitchen_appliance,commercial,false,0.822,false,false,false,0,brand_name_noise
brand_gulfnews-com_1a03bdeb,Gulfnews,Gulfnews,gulfnews.com,b2b_services,business_service,publisher,false,0.722,false,false,false,0,publisher_not_allowed|low_cleaning_score
brand_nydailynews-com_4570a390,Nydailynews,Nydailynews,nydailynews.com,consumer_electronics,laptop,publisher,false,0.722,false,false,false,0,publisher_not_allowed|low_cleaning_score
brand_buzzfeednews-com_3d0ff518,Buzzfeednews,Buzzfeednews,buzzfeednews.com,gaming_entertainment,gaming,publisher,false,0.722,false,false,false,0,publisher_not_allowed|low_cleaning_score
brand_thedailybeast-com_b8e6d327,Thedailybeast,Thedailybeast,thedailybeast.com,consumer_electronics,smartphone,publisher,false,0.722,false,false,false,0,publisher_not_allowed|low_cleaning_score
brand_businessnewsdaily-com_8a5051be,Businessnewsdaily,Businessnewsdaily,businessnewsdaily.com,developer_tools,dev_platform,publisher,false,0.722,false,false,false,0,publisher_not_allowed|low_cleaning_score
brand_gov-pl_e16b6be7,Gov,Gov,gov.pl,education,online_learning,institution,false,0.822,false,false,false,0,domain_type_blocked:institution|generic_brand_name
brand_nationalreview-com_e223ad17,Nationalreview,Nationalreview,nationalreview.com,baby_parenting,baby_products,commercial,false,0.687,false,false,false,0,low_cleaning_score
brand_helpguide-org_cad2ab90,Helpguide,Helpguide,helpguide.org,local_services,food_delivery,commercial,false,0.687,true,false,false,0,polluted_source_name|brand_name_noise|low_cleaning_score
brand_financialexpress-com_40e76802,Financialexpress,Financialexpress,financialexpress.com,travel_hospitality,hotel_booking,publisher,false,0.722,false,false,false,0,publisher_not_allowed|low_cleaning_score
brand_post-gazette-com_8eec7311,Post Gazette,Post Gazette,post-gazette.com,developer_tools,dev_platform,publisher,false,0.722,false,false,false,0,publisher_not_allowed|low_cleaning_score
brand_vaticannews-va_eae733be,Vaticannews,Vaticannews,vaticannews.va,home_appliance,kitchen_appliance,publisher,false,0.722,false,false,false,0,publisher_not_allowed|low_cleaning_score
brand_cafepress-com_ae1c9e50,Cafepress,Cafepress,cafepress.com,food_beverage,snacks,publisher,false,0.722,false,false,false,0,publisher_not_allowed|low_cleaning_score
brand_ardmediathek-de_96c359b2,Ardmediathek,Ardmediathek,ardmediathek.de,b2b_services,business_service,publisher,false,0.722,false,false,false,0,publisher_not_allowed|low_cleaning_score
brand_globalnews-ca_7676f1d2,Globalnews,Globalnews,globalnews.ca,fashion,footwear,publisher,false,0.722,false,false,false,0,publisher_not_allowed|low_cleaning_score
brand_wikispaces-com_18d7a3ac,Wikispaces,Wikispaces,wikispaces.com,art_culture,craft,commercial,false,0.822,false,false,false,0,brand_name_noise
brand_annualreviews-org_79c623da,Annualreviews,Annualreviews,annualreviews.org,finance,digital_banking,commercial,false,0.687,false,false,false,0,low_cleaning_score
brand_edu-tw_302137af,Edu,Edu,edu.tw,food_beverage,snacks,institution,false,0.822,false,false,false,0,domain_type_blocked:institution|generic_brand_name
brand_ibtimes-co-uk_e8ca9906,Ibtimes,Ibtimes,ibtimes.co.uk,art_culture,craft,publisher,false,0.722,false,false,false,0,publisher_not_allowed|low_cleaning_score
brand_japanpost-jp_c849cb2c,Japanpost,Japanpost,japanpost.jp,developer_tools,dev_platform,publisher,false,0.722,false,false,false,0,publisher_not_allowed|low_cleaning_score
brand_sciencenews-org_49285f32,Sciencenews,Sciencenews,sciencenews.org,food_beverage,snacks,publisher,false,0.722,false,false,false,0,publisher_not_allowed|low_cleaning_score
brand_thenationalnews-com_d7542bf2,Thenationalnews,Thenationalnews,thenationalnews.com,health_wellness,healthcare,publisher,false,0.722,false,false,false,0,publisher_not_allowed|low_cleaning_score
brand_firstpost-com_325742e9,Firstpost,Firstpost,firstpost.com,art_culture,craft,publisher,false,0.722,false,false,false,0,publisher_not_allowed|low_cleaning_score
brand_newsday-com_9628e52f,Newsday,Newsday,newsday.com,education,online_learning,publisher,false,0.722,false,false,false,0,publisher_not_allowed|low_cleaning_score
brand_impress-co-jp_26d2d7ec,Impress,Impress,impress.co.jp,local_services,food_delivery,publisher,false,0.722,false,false,false,0,publisher_not_allowed|low_cleaning_score
brand_detroitnews-com_23cd1f62,Detroitnews,Detroitnews,detroitnews.com,finance,digital_banking,publisher,false,0.722,false,false,false,0,publisher_not_allowed|low_cleaning_score
brand_news18-com_dc49450e,News18,News18,news18.com,sports_outdoor,fitness,publisher,false,0.722,false,false,false,0,publisher_not_allowed|low_cleaning_score
brand_usmagazine-com_91a0ac51,Usmagazine,Usmagazine,usmagazine.com,food_beverage,snacks,publisher,false,0.822,false,false,false,0,publisher_not_allowed
brand_newstatesman-com_f4beda6c,Newstatesman,Newstatesman,newstatesman.com,health_wellness,healthcare,publisher,false,0.722,false,false,false,0,publisher_not_allowed|low_cleaning_score
brand_inews-co-uk_96805e8a,Inews,Inews,inews.co.uk,finance,digital_banking,publisher,false,0.722,false,false,false,0,publisher_not_allowed|low_cleaning_score
brand_socialmediatoday-com_22227ec1,Socialmediatoday,Socialmediatoday,socialmediatoday.com,education,online_learning,publisher,false,0.722,false,false,false,0,publisher_not_allowed|low_cleaning_score
brand_tutorialspoint-com_cf573663,Tutorialspoint,Tutorialspoint,tutorialspoint.com,baby_parenting,baby_products,commercial,false,0.822,true,false,false,0,polluted_source_name|brand_name_noise
brand_reviewjournal-com_eb6d302a,Reviewjournal,Reviewjournal,reviewjournal.com,home_improvement,home_decor,publisher,false,0.587,false,false,false,0,publisher_not_allowed|low_cleaning_score
brand_dailystar-co-uk_d2276ab6,Dailystar,Dailystar,dailystar.co.uk,baby_parenting,baby_products,publisher,false,0.722,false,false,false,0,publisher_not_allowed|low_cleaning_score
brand_ctvnews-ca_a6bfcf3d,Ctvnews,Ctvnews,ctvnews.ca,consumer_electronics,smartphone,publisher,false,0.722,false,false,false,0,publisher_not_allowed|low_cleaning_score
brand_postimg-org_c06ff8e5,Postimg,Postimg,postimg.org,saas,productivity,publisher,false,0.722,false,false,false,0,publisher_not_allowed|low_cleaning_score
brand_arabnews-com_44e33d59,Arabnews,Arabnews,arabnews.com,saas,productivity,publisher,false,0.722,false,false,false,0,publisher_not_allowed|low_cleaning_score
brand_europapress-es_bfec286b,Europapress,Europapress,europapress.es,education,online_learning,publisher,false,0.722,false,false,false,0,publisher_not_allowed|low_cleaning_score
brand_postheaven-net_58d744ce,Postheaven,Postheaven,postheaven.net,saas,productivity,publisher,false,0.722,false,false,false,0,publisher_not_allowed|low_cleaning_score
brand_themoscowtimes-com_4b5e99d9,Themoscowtimes,Themoscowtimes,themoscowtimes.com,sports_outdoor,fitness,publisher,false,0.722,false,false,false,0,publisher_not_allowed|low_cleaning_score
brand_washingtontimes-com_2be4f982,Washingtontimes,Washingtontimes,washingtontimes.com,fashion,footwear,publisher,false,0.722,false,false,false,0,publisher_not_allowed|low_cleaning_score
brand_sportingnews-com_3f133ecf,Sportingnews,Sportingnews,sportingnews.com,art_culture,craft,publisher,false,0.722,false,false,false,0,publisher_not_allowed|low_cleaning_score
brand_miamiherald-com_6097cc17,Miamiherald,Miamiherald,miamiherald.com,consumer_electronics,smartphone,publisher,false,0.722,false,false,false,0,publisher_not_allowed|low_cleaning_score
brand_thehackernews-com_914804fd,Thehackernews,Thehackernews,thehackernews.com,home_improvement,home_decor,publisher,false,0.722,false,false,false,0,publisher_not_allowed|low_cleaning_score
brand_dailydot-com_fec5ff25,Dailydot,Dailydot,dailydot.com,travel_hospitality,hotel_booking,publisher,false,0.722,false,false,false,0,publisher_not_allowed|low_cleaning_score
brand_getyourguide-com_5bc68c12,Getyourguide,Getyourguide,getyourguide.com,home_appliance,kitchen_appliance,commercial,false,0.687,true,false,false,0,polluted_source_name|brand_name_noise|low_cleaning_score
brand_guidestar-org_cf2bdc5e,Guidestar,Guidestar,guidestar.org,sports_outdoor,fitness,commercial,false,0.687,true,false,false,0,polluted_source_name|brand_name_noise|low_cleaning_score
brand_newswire-ca_87de70ab,Newswire,Newswire,newswire.ca,home_improvement,home_decor,publisher,false,0.722,false,false,false,0,publisher_not_allowed|low_cleaning_score
brand_posterous-com_df1b36d9,Posterous,Posterous,posterous.com,finance,digital_banking,publisher,false,0.722,false,false,false,0,publisher_not_allowed|low_cleaning_score
brand_12377-cn_6399adea,12377,12377,12377.cn,baby_parenting,baby_products,commercial,false,0.822,false,false,false,0,numeric_brand_name
brand_lexpress-fr_8f425326,Lexpress,Lexpress,lexpress.fr,education,online_learning,publisher,false,0.722,false,false,false,0,publisher_not_allowed|low_cleaning_score
brand_divephotoguide-com_b26f036b,Divephotoguide,Divephotoguide,divephotoguide.com,art_culture,craft,commercial,false,0.687,true,false,false,0,polluted_source_name|brand_name_noise|low_cleaning_score
brand_bostonherald-com_b574fc6f,Bostonherald,Bostonherald,bostonherald.com,health_wellness,healthcare,publisher,false,0.722,false,false,false,0,publisher_not_allowed|low_cleaning_score
brand_timesunion-com_b21aeaf6,Timesunion,Timesunion,timesunion.com,art_culture,craft,publisher,false,0.722,false,false,false,0,publisher_not_allowed|low_cleaning_score
brand_commonsensemedia-org_22bdf211,Commonsensemedia,Commonsensemedia,commonsensemedia.org,finance,digital_banking,publisher,false,0.722,false,false,false,0,publisher_not_allowed|low_cleaning_score
brand_newsmax-com_c8d0b392,Newsmax,Newsmax,newsmax.com,health_wellness,healthcare,publisher,false,0.722,false,false,false,0,publisher_not_allowed|low_cleaning_score
brand_libguides-com_07ba2ff3,Libguides,Libguides,libguides.com,education,online_learning,commercial,false,0.687,true,false,false,0,polluted_source_name|brand_name_noise|low_cleaning_score
brand_devpost-com_86d566b5,Devpost,Devpost,devpost.com,local_services,food_delivery,publisher,false,0.722,false,false,false,0,publisher_not_allowed|low_cleaning_score
brand_expressvpn-com_0a2cd3ec,Expressvpn,Expressvpn,expressvpn.com,health_wellness,healthcare,publisher,false,0.722,false,false,false,0,publisher_not_allowed|low_cleaning_score
brand_wikitravel-org_bb5d4599,Wikitravel,Wikitravel,wikitravel.org,local_services,food_delivery,commercial,false,0.822,false,false,false,0,brand_name_noise
brand_mynewsdesk-com_b9fb1882,Mynewsdesk,Mynewsdesk,mynewsdesk.com,sports_outdoor,fitness,publisher,false,0.722,false,false,false,0,publisher_not_allowed|low_cleaning_score
brand_dailykos-com_f88ee07e,Dailykos,Dailykos,dailykos.com,developer_tools,dev_platform,publisher,false,0.722,false,false,false,0,publisher_not_allowed|low_cleaning_score
brand_dailycaller-com_836b3a1a,Dailycaller,Dailycaller,dailycaller.com,art_culture,craft,publisher,false,0.722,false,false,false,0,publisher_not_allowed|low_cleaning_score
brand_mediaroom-com_9146923d,Mediaroom,Mediaroom,mediaroom.com,home_improvement,home_decor,publisher,false,0.722,false,false,false,0,publisher_not_allowed|low_cleaning_score
brand_51-la_c5c800bd,51,51,51.la,beauty_personal_care,cosmetics,commercial,false,0.822,false,false,false,0,numeric_brand_name
brand_media-amazon-com_9733b62e,Media Amazon,Media Amazon,media-amazon.com,home_improvement,home_decor,publisher,false,0.722,false,false,false,0,publisher_not_allowed|low_cleaning_score
brand_yourdictionary-com_e127f1d6,Yourdictionary,Yourdictionary,yourdictionary.com,finance,digital_banking,commercial,false,0.822,false,false,false,0,brand_name_noise
brand_abcnews-com_592370aa,Abcnews,Abcnews,abcnews.com,fashion,apparel,publisher,false,0.722,false,false,false,0,publisher_not_allowed|low_cleaning_score
brand_diabetesjournals-org_cde35e35,Diabetesjournals,Diabetesjournals,diabetesjournals.org,sports_outdoor,fitness,publisher,false,0.722,false,false,false,0,publisher_not_allowed|low_cleaning_score
brand_mensjournal-com_75e30aa4,Mensjournal,Mensjournal,mensjournal.com,baby_parenting,baby_products,publisher,false,0.722,false,false,false,0,publisher_not_allowed|low_cleaning_score
brand_189-cn_50ef6c03,189,189,189.cn,saas,productivity,commercial,false,0.822,false,false,false,0,numeric_brand_name
brand_postimg-cc_da316d22,Postimg,Postimg,postimg.cc,fashion,apparel,publisher,false,0.722,false,false,false,0,publisher_not_allowed|low_cleaning_score
brand_acpjournals-org_0c8c9b75,Acpjournals,Acpjournals,acpjournals.org,local_services,food_delivery,publisher,false,0.722,false,false,false,0,publisher_not_allowed|low_cleaning_score
brand_deccanherald-com_09c5748b,Deccanherald,Deccanherald,deccanherald.com,sports_outdoor,fitness,publisher,false,0.722,false,false,false,0,publisher_not_allowed|low_cleaning_score
brand_itmedia-co-jp_88be3632,Itmedia,Itmedia,itmedia.co.jp,health_wellness,healthcare,publisher,false,0.722,false,false,false,0,publisher_not_allowed|low_cleaning_score
brand_huffingtonpost-ca_07c74bd8,Huffingtonpost,Huffingtonpost,huffingtonpost.ca,mobility,automotive,publisher,false,0.722,false,false,false,0,publisher_not_allowed|low_cleaning_score
brand_vnexpress-net_b574bbdd,Vnexpress,Vnexpress,vnexpress.net,sports_outdoor,fitness,publisher,false,0.722,false,false,false,0,publisher_not_allowed|low_cleaning_score
brand_gq-magazine-co-uk_fa0466fc,Gq Magazine,Gq Magazine,gq-magazine.co.uk,art_culture,craft,publisher,false,0.822,false,false,false,0,publisher_not_allowed
brand_newindianexpress-com_6124ff23,Newindianexpress,Newindianexpress,newindianexpress.com,finance,digital_banking,publisher,false,0.722,false,false,false,0,publisher_not_allowed|low_cleaning_score
brand_khaleejtimes-com_bb9d2913,Khaleejtimes,Khaleejtimes,khaleejtimes.com,saas,productivity,publisher,false,0.722,false,false,false,0,publisher_not_allowed|low_cleaning_score
brand_cybernews-com_2a50f041,Cybernews,Cybernews,cybernews.com,developer_tools,dev_platform,publisher,false,0.722,false,false,false,0,publisher_not_allowed|low_cleaning_score
brand_edu-sg_29e794dc,Edu,Edu,edu.sg,fashion,apparel,institution,false,0.822,false,false,false,0,domain_type_blocked:institution|generic_brand_name
brand_thejakartapost-com_16317dd1,Thejakartapost,Thejakartapost,thejakartapost.com,b2b_services,business_service,publisher,false,0.722,false,false,false,0,publisher_not_allowed|low_cleaning_score
brand_natlawreview-com_ef6eddb1,Natlawreview,Natlawreview,natlawreview.com,travel_hospitality,hotel_booking,commercial,false,0.687,false,false,false,0,low_cleaning_score
brand_theepochtimes-com_47e776ab,Theepochtimes,Theepochtimes,theepochtimes.com,beauty_personal_care,cosmetics,publisher,false,0.722,false,false,false,0,publisher_not_allowed|low_cleaning_score
brand_naturalnews-com_4b2d7714,Naturalnews,Naturalnews,naturalnews.com,mobility,automotive,publisher,false,0.722,false,false,false,0,publisher_not_allowed|low_cleaning_score
brand_edu-pl_2b5c44b1,Edu,Edu,edu.pl,art_culture,craft,institution,false,0.822,false,false,false,0,domain_type_blocked:institution|generic_brand_name
brand_12371-cn_c5fb3d28,12371,12371,12371.cn,gaming_entertainment,gaming,commercial,false,0.822,false,false,false,0,numeric_brand_name
brand_newsobserver-com_293a622e,Newsobserver,Newsobserver,newsobserver.com,health_wellness,healthcare,publisher,false,0.722,false,false,false,0,publisher_not_allowed|low_cleaning_score
brand_hellomagazine-com_ee299314,Hellomagazine,Hellomagazine,hellomagazine.com,education,online_learning,publisher,false,0.822,false,false,false,0,publisher_not_allowed
brand_owlethome-com_c8d2d8bb,Owlet Home - Smart Home,Owlet Home - Smart Home,owlethome.com,consumer_electronics,pet_supplies,commercial,true,0.835,false,false,true,2,too_many_tokens
brand_petwant-com_742b6977,Petwant,Petwant,petwant.com,consumer_electronics,pet_supplies,commercial,false,0.902,false,false,false,1,parked_or_interstitial
brand_puramax-com_78d0e303,Puramax,Puramax,puramax.com,consumer_electronics,pet_supplies,commercial,false,0.902,false,false,false,1,parked_or_interstitial
brand_petory-com_4d564f10,Petory,Petory,petory.com,consumer_electronics,pet_supplies,commercial,false,0.902,false,false,false,1,parked_or_interstitial
brand_originpc-com_29cc6165,Originpc,Originpc,originpc.com,consumer_electronics,laptop,commercial,false,0.91,false,false,false,1,parked_or_interstitial
brand_frame-work_2a2e84a1,Frame,Frame,frame.work,consumer_electronics,laptop,commercial,false,0.906,false,false,false,1,parked_or_interstitial
